,X,Y,FID,Region,State,Hub_name,Adminstr,Operator,Typeoper,Yr_activat,Maxthru,Avgdaily,Numcust,Status,Notes,City,County_1,County_2,Authority,Rates,Platform,Yearofdata,Latitude,Longitude,geometry
0,-107.95698955196949,36.68639419900425,1,Southwest,NM,Blanco Hub,Transwestern Gas Pipeline Co,Transwestern Gas Pipeline Co,Production Hub,1993,1600,1200,40,Operational,"Growth since 03: 77% in avg daily & 22% interconnect capacity. Customers:30-50 shippers, PG&E 25%, SOCAL 25%, rest Producers.  Not a ""HUB"" bur rather a receiver of gas from suppliers and deliver on behalf of shippers.", ,San Juan, ,NGA Section 7,Max - Discount,Intercontinental Exch (San Juan),2009,36.6864,-107.957,POINT (-107.957 36.6864)
1,-100.45899135010892,35.83369389575649,2,Southwest,TX,Buffalo Wallow Center,KM Interstate Gas Transmission co,KM Interstate Gas Transmission co,Market Center,1994,250,0,20,Inactive 99,"Routes flows southward (through WAHA to East Texas) during non-peak periods and north during peak or cold periods. Operation is fiully booked in 1996. Upgrades, expansions and new connections being explored.", ,Hemphill, ,FERC Section 311,Max - Discount,No,1999,35.8337,-100.459,POINT (-100.459 35.8337)
2,-94.27889315888032,32.159594277641744,3,Southwest,TX,Carthage Hub,DCP Midstream Partners LP,DCP Midstream Inc,Production Hub,1990,800,600,200,Operational,Site primarily delivers processed gas from East Texas Plant tailgate.  Most active hub site in East Texas with more than 200 per day trading on thier ETS., ,Panola, ,FERC Section 311 & State,Max - Discount,Intercontinental Exchange,2008,32.1596,-94.2789,POINT (-94.2789 32.1596)
3,-88.26389410140656,41.50019224520628,4,Midwest,IL,Chicago Hub,Enerchange Inc,Northern Illinois Gas Co  (Nicor),Market Center,1993,450,100,10,Operational,"Nicor Enerchange Hub Administration, commonly referred to as the Chicago Hub. Storage service made possible through the use of under-utilized capacity at Nicor Gas' seven underground storage facilities and its transmission network",,Various, ,FERC Section 311,Max - Discount,"NGX, Intercontinental Exchange",2008,41.5002,-88.2639,POINT (-88.2639 41.5002)
4,-77.78999730138227,41.397891755756,5,Northeast,PA,Ellisburg-Leidy Center,National Fuel Gas Supply Co,National Fuel Gas Supply Co,Market Center,1993,520,432,85,Inactive 08,"No longer a formal market center although hub type services are offered by NFGS (08) as part of everyday business. .Marketers constitute about 40% of business, Cogens & LDC's 50%, pipelines 10%. Although 32 storage sites are available to the center", ,Potter,Clinton,FERC Section 311,Max - Discount,Gas Daily,2008,41.3979,-77.79,POINT (-77.79 41.3979)
5,-94.16789330331194,29.830994747312506,6,Southwest,TX,Spindletop Storage Hub,Centana Intrastate Pipeline Co,Centana Intrastate Pipeline Co,Storage Hub,1998,750,700,20,Inactive 08,"DCP spokesperson: Spindletop not a true market center/hub. 10/08  Spindletop Hub provides storage in a salt dome caverns with 12.4 Bcf total capacity, 0.75 Bcf/day withdrawal capacity, and 0.37 Bcf/day injection capacity.", ,Jefferson, ,FERC Section 311,Max - Discount,No,2008,29.831,-94.1679,POINT (-94.1679 29.831)
6,-95.39359299011149,29.773994800249284,7,Southwest,TX,Houston Hub,EL Paso Field Services Co,EL Paso Field Services Co,Market Hub,1992,110,0,200,Inactive 03,"Rotherwood storage became inactive 9/2002. Five long-term customers, the rest short-term., interruptible day-to-day.",Houston,Harris, ,FERC Section 311,Max - Discount,Not applicable,2003,29.774,-95.3936,POINT (-95.3936 29.774)
7,-95.85119287075231,29.83309480340811,8,Southwest,TX,Katy (DCP) Hub,DCP Midstream LP,Guadalupe Pipeline Co,Production Hub,1995,500,300,12,Operational,"Transfer point primarily. Does not provide more than acces on/off GUADALUPE pipeline system from west to east Texas. Volume: 80% Producers, 20% Marketers. TECO not is upgrading system to include more services and interconnections and capacity. In 199", ,Waller, ,Texas Railroad Comm,Market Based,No,2003,29.8331,-95.8512,POINT (-95.8512 29.8331)
8,-84.18109548940046,39.41589241313563,9,Midwest,OH,Lebanon Hub,East Ohio Gas Co,East Ohio Gas Co,Market Hub,1994,0,0,0,Inactive 98,Closed in 1998 due to a lack of customer interest and liquidity., ,Warren, ,FERC Section 311,Max - Discount,Not applicable,1998,39.4159,-84.1811,POINT (-84.1811 39.4159)
9,-92.42959375467896,29.963994660516448,10,Southwest,LA,Louisiana Hub,Bridgeline Storage Co,Bridgeline Storage Co,Market Center,1994,400,0,0,Inactive 99,System ties in with Henry Hub., ,Assumption,Cameron,FERC Section 311,Market Based,Not applicable,1996,29.964,-92.4296,POINT (-92.4296 29.964)
